time,real,imag,mag,phase
1.467741891741752625e+01,-5.543657195085207604e+03,5.846504084981911546e+02,5.574401420491449244e+03,3.036518122271787412e+00
1.483870923519134521e+01,-5.370280228475530748e+03,1.628378611907534605e+03,5.611731162134649821e+03,2.847183972821523579e+00
1.499999955296516418e+01,-3.838220885442902272e+03,3.914622992136002722e+03,5.482354670760541921e+03,2.346340089050376942e+00
1.516128987073898315e+01,-4.226244141002313881e+03,4.270134321397476015e+03,6.007926985419602715e+03,2.351028784569337837e+00
1.532258018851280212e+01,6.972110080889756034e+01,5.429159760591912345e+03,5.429607420240292413e+03,1.557955063772586302e+00
1.548387050628662109e+01,4.092861157638825716e+03,3.105799717313277142e+03,5.137850167119693651e+03,6.491305512822955759e-01
1.564516082406044006e+01,5.191661487235046479e+03,2.099990434362612035e+01,5.191703958626884742e+03,4.044907370545342169e-03
1.580645114183425903e+01,5.261198398114986958e+03,-9.917198182285002304e+02,5.353850649970997438e+03,-1.863108610488916350e-01
1.596774145960807800e+01,5.159604149576154668e+03,-1.406521461417081582e+03,5.347879729551732453e+03,-2.661359958711521090e-01
1.612903177738189697e+01,3.867351694775155920e+03,-3.363775842717843261e+03,5.125563096005394982e+03,-7.158703973941760168e-01
1.629032209515571594e+01,3.201683206636392697e+03,-4.041048235346911042e+03,5.155661567253797330e+03,-9.007741497070980152e-01
1.645161241292953491e+01,4.277066684527561847e+03,-2.727977182522633484e+03,5.072983237924182504e+03,-5.677615504905519916e-01
1.661290273070335388e+01,5.271648630284723367e+03,1.275202181723706872e+03,5.423690614835593806e+03,2.373390006261990870e-01
1.677419304847717285e+01,5.192829442651883255e+03,9.884367948549244147e+02,5.286065163984960236e+03,1.880963311247310088e-01
1.693548336625099182e+01,5.024009271481640099e+03,1.416398141624177242e+03,5.219851803981593548e+03,2.747936593633070190e-01
1.709677368402481079e+01,4.120281104357759432e+03,3.302260232202695988e+03,5.280306716481059993e+03,6.756334692007860410e-01
1.725806400179862976e+01,-9.849942689322573415e+02,5.406299233768714657e+03,5.495296635749300549e+03,1.751013413037172173e+00
1.741935431957244873e+01,-3.935780872942520546e+03,4.067037810302424077e+03,5.659608434357426631e+03,2.339794622231921029e+00
1.758064463734626770e+01,-3.248214249564966849e+03,4.188101582625597985e+03,5.300102893101976406e+03,2.230469609605678194e+00
1.774193495512008667e+01,-4.328777032467064600e+03,3.036164578746117968e+03,5.287400679544435661e+03,2.529933846276877230e+00
1.790322527289390564e+01,-5.250785846181868692e+03,1.449645467333545525e+02,5.252786567363407812e+03,3.113991502706561665e+00
1.806451559066772461e+01,-5.346250647876891890e+03,-1.625575649768884659e+03,5.587923781069818688e+03,-2.846416174425018930e+00
1.822580590844154358e+01,-4.911878532495356012e+03,4.298283941471523235e+02,4.930649365591093556e+03,3.054307056481458726e+00
