time,phase_filtered
6.974999844096601009e+00,-1.047903713466548509e-01
6.979999843984842300e+00,-1.111797405972792113e-01
6.984999843873083591e+00,-1.175369895409381638e-01
6.989999843761324883e+00,-1.238775180775277540e-01
6.994999843649566174e+00,-1.302155213274305001e-01
6.999999843537807465e+00,-1.365638717295915017e-01
7.004999843426048756e+00,-1.429340101064183743e-01
7.009999843314290047e+00,-1.493358448785280235e-01
7.014999843202531338e+00,-1.557776585808508252e-01
7.019999843090772629e+00,-1.622660208434592854e-01
7.024999842979013920e+00,-1.688057070559455808e-01
7.029999842867255211e+00,-1.753996220324531841e-01
7.034999842755496502e+00,-1.820487281334171314e-01
7.039999842643737793e+00,-1.887519774758392443e-01
7.044999842531979084e+00,-1.955062480718972595e-01
7.049999842420220375e+00,-2.023062839718075823e-01
7.054999842308461666e+00,-2.091446397466932838e-01
7.059999842196702957e+00,-2.160116299231987502e-01
7.064999842084944248e+00,-2.228952842624834230e-01
7.069999841973185539e+00,-2.297813100492578642e-01
7.074999841861426830e+00,-2.366530628093783672e-01
7.079999841749668121e+00,-2.434915270958772082e-01
7.084999841637909412e+00,-2.502753091630005589e-01
7.089999841526150703e+00,-2.569806434772577419e-01
7.094999841414391994e+00,-2.635814150876244488e-01
7.099999841302633286e+00,-2.700491998913688296e-01
7.104999841190874577e+00,-2.763533247877745791e-01
7.109999841079115868e+00,-2.824609496103629991e-01
7.114999840967357159e+00,-2.883371725698640198e-01
7.119999840855598450e+00,-2.939451607267327127e-01
7.124999840743839741e+00,-2.992463067473907778e-01
7.129999840632081032e+00,-3.042004128896691473e-01
7.134999840520322323e+00,-3.087659028209543965e-01
7.139999840408563614e+00,-3.129000615124793994e-01
7.144999840296804905e+00,-3.165593030925841211e-01
7.149999840185046196e+00,-3.196994661937666571e-01
7.154999840073287487e+00,-3.222761359937830195e-01
7.159999839961528778e+00,-3.242449918156979916e-01
7.164999839849770069e+00,-3.255621787900107034e-01
7.169999839738011360e+00,-3.261847016619052186e-01
7.174999839626252651e+00,-3.260708383145573541e-01
7.179999839514493942e+00,-3.251805699484853762e-01
7.184999839402735233e+00,-3.234760241035448125e-01
7.189999839290976524e+00,-3.209219258682406428e-01
7.194999839179217815e+00,-3.174860517615785693e-01
7.199999839067459106e+00,-3.131396799881572823e-01
7.204999838955700397e+00,-3.078580301494333593e-01
7.209999838843941689e+00,-3.016206851122215649e-01
7.214999838732182980e+00,-2.944119876207411113e-01
7.219999838620424271e+00,-2.862214043853504863e-01
7.224999838508665562e+00,-2.770438507643094295e-01
7.229999838396906853e+00,-2.668799697451521569e-01
7.234999838285148144e+00,-2.557363596971961028e-01
7.239999838173389435e+00,-2.436257462666144291e-01
7.244999838061630726e+00,-2.305670947776612412e-01
7.249999837949872017e+00,-2.165856605517907096e-01
7.254999837838113308e+00,-2.017129756324542167e-01
7.259999837726354599e+00,-1.859867714816812734e-01
7.264999837614595890e+00,-1.694508382694318305e-01
7.269999837502837181e+00,-1.521548223855485604e-01
7.274999837391078472e+00,-1.341539647494543741e-01
7.279999837279319763e+00,-1.155087833592077784e-01
7.284999837167561054e+00,-9.628470429224901539e-02
7.289999837055802345e+00,-7.655164602649182359e-02
7.294999836944043636e+00,-5.638356247514567793e-02
7.299999836832284927e+00,-3.585795051024590063e-02
7.304999836720526218e+00,-1.505532798544821117e-02
7.309999836608767509e+00,5.941311635521329473e-03
7.314999836497008801e+00,2.704706196840665419e-02
7.319999836385250092e+00,4.817567777609894214e-02
7.324999836273491383e+00,6.924015469479120888e-02
7.329999836161732674e+00,9.015330917910088782e-02
7.334999836049973965e+00,1.108283535446702439e-01
7.339999835938215256e+00,1.311794613248431496e-01
7.344999835826456547e+00,1.511223185042172845e-01
7.349999835714697838e+00,1.705746565394472836e-01
7.354999835602939129e+00,1.894567634231116016e-01
7.359999835491180420e+00,2.076919693884425600e-01
7.364999835379421711e+00,2.252071041930907291e-01
7.369999835267663002e+00,2.419329232643298577e-01
7.374999835155904293e+00,2.578045003428375836e-01
7.379999835044145584e+00,2.727615846312847481e-01
7.384999834932386875e+00,2.867489208363140363e-01
7.389999834820628166e+00,2.997165308820713414e-01
7.394999834708869457e+00,3.116199564608793660e-01
7.399999834597110748e+00,3.224204619610848699e-01
7.404999834485352039e+00,3.320851976628597102e-01
7.409999834373593330e+00,3.405873234109660919e-01
7.414999834261834621e+00,3.479060932538655115e-01
7.419999834150075912e+00,3.540269017791610739e-01
7.424999834038317204e+00,3.589412930770090604e-01
7.429999833926558495e+00,3.626469334292146685e-01
7.434999833814799786e+00,3.651475489560794818e-01
7.439999833703041077e+00,3.664528295549556169e-01
7.444999833591282368e+00,3.665783005273378081e-01
7.449999833479523659e+00,3.655451633101238218e-01
7.454999833367764950e+00,3.633801067062240042e-01
7.459999833256006241e+00,3.601150899639692371e-01
7.464999833144247532e+00,3.557870989988142219e-01
7.469999833032488823e+00,3.504378769955183714e-01
7.474999832920730114e+00,3.441136305823042640e-01
7.479999832808971405e+00,3.368647127392873641e-01
7.484999832697212696e+00,3.287452836024294389e-01
7.489999832585453987e+00,3.198129503611105706e-01
7.494999832473695278e+00,3.101283875271075852e-01
7.499999832361936569e+00,2.997549389741237524e-01
7.504999832250177860e+00,2.887582033044665542e-01
7.509999832138419151e+00,2.772056042861638092e-01
7.514999832026660442e+00,2.651659483142506102e-01
7.519999831914901733e+00,2.527089710805403566e-01
7.524999831803143024e+00,2.399048758824549599e-01
7.529999831691384315e+00,2.268238662540529582e-01
7.534999831579625607e+00,2.135356758465812299e-01
7.539999831467866898e+00,2.001090987063426641e-01
7.544999831356108189e+00,1.866115232832523951e-01
7.549999831244349480e+00,1.731084736481772468e-01
7.554999831132590771e+00,1.596631614991246284e-01
7.559999831020832062e+00,1.463360525969981951e-01
7.564999830909073353e+00,1.331844512941931513e-01
7.569999830797314644e+00,1.202621068057920517e-01
7.574999830685555935e+00,1.076188448227678035e-01
7.579999830573797226e+00,9.530022797732526363e-02
7.584999830462038517e+00,8.334724854075398204e-02
7.589999830350279808e+00,7.179605656259058222e-02
7.594999830238521099e+00,6.067772644487551270e-02
7.599999830126762390e+00,5.001806468539411743e-02
7.604999830015003681e+00,3.983746121737460205e-02
7.609999829903244972e+00,3.015078641790003983e-02
7.614999829791486263e+00,2.096733545250403438e-02
7.619999829679727554e+00,1.229082117253053885e-02
7.624999829567968845e+00,4.119416292757834344e-03
7.629999829456210136e+00,-3.554154939616811348e-03
7.634999829344451427e+00,-1.074247590502306650e-02
7.639999829232692719e+00,-1.746324845541609438e-02
7.644999829120934010e+00,-2.373905682281539364e-02
7.649999829009175301e+00,-2.959708647998792255e-02
7.654999828897416592e+00,-3.506880031856559471e-02
7.659999828785657883e+00,-4.018957495084920367e-02
7.664999828673899174e+00,-4.499830033908708282e-02
7.669999828562140465e+00,-4.953694630403387977e-02
7.674999828450381756e+00,-5.385009975781320651e-02
7.679999828338623047e+00,-5.798447674064047264e-02
7.684999828226864338e+00,-6.198841351438948849e-02
7.689999828115105629e+00,-6.591134107762590399e-02
7.694999828003346920e+00,-6.980324751823722973e-02
7.699999827891588211e+00,-7.371413261543841022e-02
7.704999827779829502e+00,-7.769345904948869730e-02
7.709999827668070793e+00,-8.178960448377105286e-02
7.714999827556312084e+00,-8.604931866006404473e-02
7.719999827444553375e+00,-9.051718950427153909e-02
7.724999827332794666e+00,-9.523512208691249648e-02
7.729999827221035957e+00,-1.002418341308953798e-01
7.734999827109277248e+00,-1.055723716188042838e-01
7.739999826997518539e+00,-1.112576479310677796e-01
7.744999826885759830e+00,-1.173240098487238064e-01
7.749999826774001122e+00,-1.237928336798433115e-01
7.754999826662242413e+00,-1.306801547142714681e-01
7.759999826550483704e+00,-1.379963331719710196e-01
7.764999826438724995e+00,-1.457457597773347546e-01
7.769999826326966286e+00,-1.539266040540313851e-01
7.774999826215207577e+00,-1.625306083805687085e-01
7.779999826103448868e+00,-1.715429307654017244e-01
7.784999825991690159e+00,-1.809420391826900287e-01
7.789999825879931450e+00,-1.906996601470413721e-01
7.794999825768172741e+00,-2.007807839906406155e-01
7.799999825656414032e+00,-2.111437290344244933e-01
7.804999825544655323e+00,-2.217402665146680774e-01
7.809999825432896614e+00,-2.325158077383172872e-01
7.814999825321137905e+00,-2.434096544969419906e-01
7.819999825209379196e+00,-2.543553132730951294e-01
7.824999825097620487e+00,-2.652808732272473602e-01
7.829999824985861778e+00,-2.761094473624211010e-01
7.834999824874103069e+00,-2.867596756342387643e-01
7.839999824762344360e+00,-2.971462881182465043e-01
7.844999824650585651e+00,-3.071807256796136865e-01
7.849999824538826942e+00,-3.167718149268762273e-01
7.854999824427068233e+00,-3.258264935778243943e-01
7.859999824315309525e+00,-3.342505817161731674e-01
7.864999824203550816e+00,-3.419495937551709219e-01
7.869999824091792107e+00,-3.488295852268059050e-01
7.874999823980033398e+00,-3.547980277632620250e-01
7.879999823868274689e+00,-3.597647048198743813e-01
7.884999823756515980e+00,-3.636426198118565822e-01
7.889999823644757271e+00,-3.663489074324890460e-01
7.894999823532998562e+00,-3.678057380498431228e-01
7.899999823421239853e+00,-3.679412043260562037e-01
7.904999823309481144e+00,-3.666901786569657373e-01
7.909999823197722435e+00,-3.639951297636303540e-01
7.914999823085963726e+00,-3.598068868158261768e-01
7.919999822974205017e+00,-3.540853398207083891e-01
7.924999822862446308e+00,-3.468000656304748297e-01
7.929999822750687599e+00,-3.379308697767287595e-01
7.934999822638928890e+00,-3.274682354070927448e-01
7.939999822527170181e+00,-3.154136718666418759e-01
7.944999822415411472e+00,-3.017799569074170463e-01
7.949999822303652763e+00,-2.865912680840815852e-01
7.954999822191894054e+00,-2.698832005550618196e-01
7.959999822080135345e+00,-2.517026702071447075e-01
7.964999821968376637e+00,-2.321077027107242285e-01
7.969999821856617928e+00,-2.111671107512231860e-01
7.974999821744859219e+00,-1.889600632366299771e-01
7.979999821633100510e+00,-1.655755517279859368e-01
7.984999821521341801e+00,-1.411117606614960274e-01
7.989999821409583092e+00,-1.156753491105290271e-01
7.994999821297824383e+00,-8.938065285349640343e-02
7.999999821186065674e+00,-6.234881635010664641e-02
8.004999821074306965e+00,-3.470686486976369556e-02
8.009999820962548256e+00,-6.586727456338145777e-03
8.014999820850789547e+00,2.187577834213556838e-02
8.019999820739030838e+00,5.054198898513576760e-02
8.024999820627272129e+00,7.927145378481971483e-02
8.029999820515513420e+00,1.079229993812425431e-01
8.034999820403754711e+00,1.363557894395507897e-01
8.039999820291996002e+00,1.644303695277702926e-01
8.044999820180237293e+00,1.920096875591855989e-01
8.049999820068478584e+00,2.189600806606104011e-01
8.054999819956719875e+00,2.451522198560010246e-01
8.059999819844961166e+00,2.704620045363100855e-01
8.064999819733202457e+00,2.947713993239074459e-01
8.069999819621443748e+00,3.179692066344537715e-01
8.074999819509685040e+00,3.399517689898800543e-01
8.079999819397926331e+00,3.606235959397048330e-01
8.084999819286167622e+00,3.798979112978053685e-01
8.089999819174408913e+00,3.976971172879482652e-01
8.094999819062650204e+00,4.139531731010901994e-01
8.099999818950891495e+00,4.286078862870419393e-01
8.104999818839132786e+00,4.416131163201604815e-01
8.109999818727374077e+00,4.529308905834665833e-01
8.114999818615615368e+00,4.625334339004922857e-01
8.119999818503856659e+00,4.704031136030275007e-01
8.124999818392097950e+00,4.765323029504211494e-01
8.129999818280339241e+00,4.809231665075521245e-01
8.134999818168580532e+00,4.835873718378154162e-01
8.139999818056821823e+00,4.845457325628995116e-01
8.144999817945063114e+00,4.838277884652145699e-01
8.149999817833304405e+00,4.814713288437439398e-01
8.154999817721545696e+00,4.775218657683436008e-01
8.159999817609786987e+00,4.720320642054826044e-01
8.164999817498028278e+00,4.650611362047270547e-01
8.169999817386269569e+00,4.566742064337869222e-01
8.174999817274510860e+00,4.469416563298271861e-01
8.179999817162752151e+00,4.359384540049213719e-01
8.184999817050993443e+00,4.237434768193407697e-01
8.189999816939234734e+00,4.104388332332256639e-01
8.194999816827476025e+00,3.961091901781700342e-01
8.199999816715717316e+00,3.808411117677742985e-01
8.204999816603958607e+00,3.647224147042724685e-01
8.209999816492199898e+00,3.478415452532199748e-01
8.214999816380441189e+00,3.302869821662030025e-01
8.219999816268682480e+00,3.121466694445238499e-01
8.224999816156923771e+00,2.935074823600695715e-01
8.229999816045165062e+00,2.744547296825863292e-01
8.234999815933406353e+00,2.550716946020792353e-01
8.239999815821647644e+00,2.354392163780693048e-01
8.244999815709888935e+00,2.156353142924684330e-01
8.249999815598130226e+00,1.957348550291112543e-01
8.254999815486371517e+00,1.758092641501916020e-01
8.259999815374612808e+00,1.559262818887895696e-01
8.264999815262854099e+00,1.361497630299475237e-01
8.269999815151095390e+00,1.165395202154040494e-01
8.274999815039336681e+00,9.715120958672311680e-02
8.279999814927577972e+00,7.803625728686178209e-02
8.284999814815819263e+00,5.924182497847622908e-02
8.289999814704060555e+00,4.081081221250600077e-02
8.294999814592301846e+00,2.278189319357863327e-02
8.299999814480543137e+00,5.189585238220466822e-03
8.304999814368784428e+00,-1.193565399434565015e-02
8.309999814257025719e+00,-2.856730360234883970e-02
8.314999814145267010e+00,-4.468263412609117802e-02
8.319999814033508301e+00,-6.026254318461658765e-02
8.324999813921749592e+00,-7.529137550582028215e-02
8.329999813809990883e+00,-8.975673081967729117e-02
8.334999813698232174e+00,-1.036492630615976074e-01
8.339999813586473465e+00,-1.169624742548816126e-01
8.344999813474714756e+00,-1.296925063053911420e-01
8.349999813362956047e+00,-1.418379337477440050e-01
8.354999813251197338e+00,-1.533995602326384822e-01
8.359999813139438629e+00,-1.643802212433080612e-01
8.364999813027679920e+00,-1.747845951817032228e-01
8.369999812915921211e+00,-1.846190245800993501e-01
8.374999812804162502e+00,-1.938913487811448066e-01
8.379999812692403793e+00,-2.026107489987685473e-01
8.384999812580645084e+00,-2.107876062331559830e-01
8.389999812468886375e+00,-2.184333720744118523e-01
8.394999812357127666e+00,-2.255604520024047654e-01
8.399999812245368958e+00,-2.321821003876422262e-01
8.404999812133610249e+00,-2.383123260328759430e-01
8.409999812021851540e+00,-2.439658067780882955e-01
8.414999811910092831e+00,-2.491578114305921521e-01
8.419999811798334122e+00,-2.539041270831714492e-01
8.424999811686575413e+00,-2.582209897498894402e-01
8.429999811574816704e+00,-2.621250161825113278e-01
8.434999811463057995e+00,-2.656331347310518787e-01
8.439999811351299286e+00,-2.687625131801260614e-01
8.444999811239540577e+00,-2.715304816269965005e-01
8.449999811127781868e+00,-2.739544486638703646e-01
8.454999811016023159e+00,-2.760518093818286056e-01
8.459999810904264450e+00,-2.778398440216278131e-01
8.464999810792505741e+00,-2.793356064501753555e-01
8.469999810680747032e+00,-2.805558020318395518e-01
8.474999810568988323e+00,-2.815166548825450699e-01
8.479999810457229614e+00,-2.822337649342407939e-01
8.484999810345470905e+00,-2.827219556890064323e-01
8.489999810233712196e+00,-2.829951139947198269e-01
8.494999810121953487e+00,-2.830660236156715692e-01
