time,phase_raw,phase_detrended
1.010999977402389050e+01,4.079760366092013868e+00,1.813435143029632712e+00
1.011499977391213179e+01,4.110077138544364850e+00,1.844205231266030864e+00
1.011999977380037308e+01,4.130156079304571293e+00,1.864737487810284478e+00
1.012499977368861437e+01,4.139083970820338187e+00,1.874118695110098543e+00
1.012999977357685566e+01,4.151758912784989874e+00,1.887246952858796512e+00
1.013499977346509695e+01,4.164360911263081277e+00,1.900302267120935085e+00
1.013999977335333824e+01,4.167775182615187646e+00,1.904169854257088623e+00
1.014499977324157953e+01,4.183132092282709991e+00,1.919980079708658138e+00
1.014999977312982082e+01,4.194333143405922115e+00,1.931634446615917433e+00
1.015499977301806211e+01,4.206541823842277594e+00,1.944296442836320082e+00
1.015999977290630341e+01,4.219186014823349318e+00,1.957393949601438976e+00
1.016499977279454470e+01,4.237057328363825093e+00,1.975718578925961033e+00
1.016999977268278599e+01,4.260780705011637082e+00,1.999895271357820192e+00
1.017499977257102728e+01,4.279600356565032016e+00,2.019168238695262296e+00
1.017999977245926857e+01,4.295897160905644441e+00,2.035918358819921892e+00
1.018499977234750986e+01,4.313319167716755942e+00,2.053793681415080563e+00
1.018999977223575115e+01,4.324682175989546629e+00,2.065610005471918420e+00
1.019499977212399244e+01,4.333065965718671642e+00,2.074447110985089715e+00
1.019999977201223373e+01,4.341460397826844897e+00,2.083294858877310141e+00
1.020499977190047503e+01,4.341289373459628287e+00,2.083577150294140701e+00
1.020999977178871632e+01,4.337596537082307080e+00,2.080337629700866664e+00
1.021499977167695761e+01,4.331815244697772016e+00,2.075009653100378770e+00
1.021999977156519890e+01,4.318304663511360886e+00,2.061952387698014810e+00
1.022499977145344019e+01,4.314369586408719037e+00,2.058470626379420132e+00
1.022999977134168148e+01,4.310559526494642135e+00,2.055113882249389512e+00
1.023499977122992277e+01,4.308815541101155056e+00,2.053823212639949602e+00
1.023999977111816406e+01,4.302846684238653907e+00,2.048307671561495624e+00
1.024499977100640535e+01,4.295194258684526645e+00,2.041108561791415532e+00
1.024999977089464664e+01,4.264962247923543615e+00,2.011329866814479672e+00
1.025499977078288794e+01,4.240998981133197177e+00,1.987819915808180404e+00
1.025999977067112923e+01,4.239587841362322251e+00,1.986862091821352649e+00
1.026499977055937052e+01,4.245642468055596197e+00,1.993370034298673765e+00
1.026999977044761181e+01,4.237484632911697524e+00,1.985665514938821374e+00
1.027499977033585310e+01,4.234971827622278973e+00,1.983606025433449993e+00
1.027999977022409439e+01,4.232204914231365578e+00,1.981292427826583769e+00
1.028499977011233568e+01,4.235581902561856182e+00,1.985122731941121543e+00
1.028999977000057697e+01,4.231570851821044421e+00,1.981564996984356952e+00
1.029499976988881826e+01,4.226745341813623824e+00,1.977192802760983525e+00
1.029999976977705956e+01,4.219133900104592882e+00,1.970034676835999754e+00
1.030499976966530085e+01,4.202751765303542442e+00,1.954105857818995595e+00
1.030999976955354214e+01,4.191575303725254997e+00,1.943382712024755321e+00
1.031499976944178343e+01,4.177789678775960525e+00,1.930050402859508019e+00
1.031999976933002472e+01,4.169654396392607154e+00,1.922368436260201818e+00
1.032499976921826601e+01,4.167828482872799611e+00,1.920995838524441446e+00
1.032999976910650730e+01,4.169860453147054002e+00,1.923481124582743007e+00
1.033499976899474859e+01,4.161597226682192563e+00,1.915671213901927850e+00
1.033999976888298988e+01,4.158969424473539789e+00,1.913496727477322246e+00
1.034499976877123117e+01,4.146333723191314213e+00,1.901314341979143840e+00
1.034999976865947247e+01,4.127097254806368909e+00,1.882531189378245706e+00
1.035499976854771376e+01,4.112554642355225276e+00,1.868441892711149244e+00
1.035999976843595505e+01,4.100506727576657795e+00,1.856847293716628933e+00
1.036499976832419634e+01,4.084957582862648096e+00,1.841751464786665515e+00
1.036999976821243763e+01,4.074055494318676196e+00,1.831302692026740786e+00
1.037499976810067892e+01,4.052920776771630429e+00,1.810621290263742189e+00
1.037999976798892021e+01,4.033854817807878135e+00,1.792008647084037065e+00
1.038499976787716150e+01,4.015272294206343240e+00,1.773879439266549340e+00
1.038999976776540279e+01,3.991949139275078107e+00,1.751009600119330933e+00
1.039499976765364408e+01,3.972329190617387873e+00,1.731842967245688314e+00
1.039999976754188538e+01,3.946172759382639672e+00,1.706139851794986839e+00
1.040499976743012667e+01,3.927760879745811007e+00,1.688181287942205344e+00
1.040999976731836796e+01,3.907798723509845029e+00,1.668672447490286537e+00
1.041499976720660925e+01,3.893534677717549020e+00,1.654861717482037697e+00
1.041999976709485054e+01,3.875086240628204948e+00,1.636866596176740352e+00
1.042499976698309183e+01,3.867382704615319966e+00,1.629616375947902540e+00
1.042999976687133312e+01,3.855506062668985212e+00,1.618193049785614512e+00
1.043499976675957441e+01,3.846055998403495657e+00,1.609196301304172572e+00
1.043999976664781570e+01,3.841680163555334815e+00,1.605273782240058011e+00
1.044499976653605700e+01,3.840399667404183592e+00,1.604446601872954403e+00
1.044999976642429829e+01,3.836678809550459146e+00,1.601179059803276239e+00
1.045499976631253958e+01,3.838410954076489023e+00,1.603364520113353286e+00
1.045999976620078087e+01,3.841956333298057302e+00,1.607363215118969180e+00
1.046499976608902216e+01,3.834419243825549550e+00,1.600279441430508598e+00
1.046999976597726345e+01,3.841362988552652347e+00,1.607676501941657676e+00
1.047499976586550474e+01,3.839280467824032872e+00,1.606047296997085816e+00
1.047999976575374603e+01,3.840455878187022609e+00,1.607676023144122723e+00
1.048499976564198732e+01,3.845801064763024524e+00,1.613474525504170920e+00
1.048999976553022861e+01,3.850730914366910174e+00,1.618857690892103740e+00
1.049499976541846991e+01,3.852416567546451898e+00,1.620996659855692634e+00
1.049999976530671120e+01,3.855224937870119994e+00,1.624258345963407457e+00
1.050499976519495249e+01,3.853656262515653186e+00,1.623142986392988263e+00
1.050999976508319378e+01,3.854220766770482420e+00,1.624160806431864223e+00
1.051499976497143507e+01,3.848116625459840900e+00,1.618509980905270318e+00
1.051999976485967636e+01,3.846117256571483622e+00,1.616963927800959766e+00
1.052499976474791765e+01,3.840743889240550768e+00,1.612043876254073638e+00
1.052999976463615894e+01,3.833795257869996309e+00,1.605548560667566349e+00
1.053499976452440023e+01,3.822734802432357526e+00,1.594941421013975180e+00
1.053999976441264153e+01,3.816716396485889007e+00,1.589376330851552943e+00
1.054499976430088282e+01,3.801370635960642730e+00,1.574483886110353836e+00
1.054999976418912411e+01,3.793935775339070560e+00,1.567502341272828836e+00
1.055499976407736540e+01,3.773372804318401386e+00,1.547392686036206833e+00
1.055999976396560669e+01,3.751033146824383380e+00,1.525506344326235997e+00
1.056499976385384798e+01,3.740316001536099666e+00,1.515242514821999009e+00
1.056999976374208927e+01,3.722951700997391367e+00,1.498331530067337880e+00
1.057499976363033056e+01,3.709227745657872610e+00,1.485060890511865850e+00
1.057999976351857185e+01,3.693957462247383194e+00,1.470243922885424048e+00
1.058499976340681314e+01,3.685094156592642722e+00,1.461833933014729858e+00
1.058999976329505444e+01,3.673302231644158589e+00,1.450495323850293339e+00
1.059499976318329573e+01,3.670625225954496695e+00,1.448271633944678172e+00
1.059999976307153702e+01,3.665094058684605027e+00,1.443193782458833674e+00
1.060499976295977831e+01,3.666019013736343979e+00,1.444572053294620240e+00
1.060999976284801960e+01,3.660581540634965769e+00,1.439587895977288312e+00
1.061499976273626089e+01,3.654076520741696310e+00,1.433536191868066467e+00
1.061999976262450218e+01,3.651029665320051354e+00,1.430942652230467793e+00
1.062499976251274347e+01,3.645580594600335900e+00,1.425946897294799953e+00
1.062999976240098476e+01,3.637341926471262976e+00,1.418161544949773756e+00
1.063499976228922606e+01,3.630972762291444944e+00,1.412245696554003338e+00
1.063999976217746735e+01,3.624253147483817550e+00,1.405979397530422226e+00
1.064499976206570864e+01,3.615673861324351535e+00,1.397853427155003381e+00
1.064999976195394993e+01,3.616746060171934563e+00,1.399378941786634023e+00
