real,imag,mag,phase,unwrapped_phase
-6.955451859954149768e+03,-4.701307624109751373e+02,6.971322221064291625e+03,-3.074103613942886337e+00,3.209081693236699007e+00
-7.024104375463396536e+03,-3.731789330417593646e+02,7.034010576724364000e+03,-3.088514226431070764e+00,3.194671080748514580e+00
-6.940534673953068705e+03,-2.138851116016013520e+02,6.943829519890999109e+03,-3.110785597210585784e+00,3.172399709968999559e+00
-6.856944244889694346e+03,8.904251280707330807e+01,6.857522362093534866e+03,3.128607640868614315e+00,3.128607640868613426e+00
-6.881031213235192808e+03,2.457378498822153006e+02,6.885417754093190524e+03,3.105895466200262689e+00,3.105895466200261801e+00
-6.961119397648679296e+03,2.755064734500386976e+02,6.966569247860354153e+03,3.102035401266533210e+00,3.102035401266532322e+00
-6.936650618514617236e+03,2.471091294851842690e+02,6.941050693174207481e+03,3.105984016006477777e+00,3.105984016006476889e+00
-6.947258849620870024e+03,2.360171443850647108e+02,6.951266763409326813e+03,3.107633013819579570e+00,3.107633013819578682e+00
-6.991206023646877838e+03,1.984516076538974119e+02,6.994022069285798352e+03,3.113214383608573055e+00,3.113214383608572167e+00
-6.977631010776611220e+03,1.054346388700253669e+02,6.978427543911671819e+03,3.126483425915806524e+00,3.126483425915805636e+00
-7.006707997295176028e+03,-3.955334562728538117e+01,7.006819637075761420e+03,-3.135947645191492050e+00,3.147237661988093294e+00
-6.959223812991256636e+03,-1.982163476770651585e+02,6.962046092909109575e+03,-3.113117815339145000e+00,3.170067491840440344e+00
-7.007337154666972310e+03,-3.524888731298378843e+02,7.016197146949089984e+03,-3.091332189977193945e+00,3.191853117202391399e+00
-7.013926545353464462e+03,-5.982240518814271582e+02,7.039391848722687428e+03,-3.056507680725618847e+00,3.226677626453966496e+00
-7.035673475100889846e+03,-9.119840609645600580e+02,7.094534246565566718e+03,-3.012688547619640556e+00,3.270496759559944788e+00
-6.977010336858500523e+03,-1.301968005075950487e+03,7.097449818552563556e+03,-2.957106262950622622e+00,3.326079044228962722e+00
-6.909503176328232257e+03,-1.744135845404628981e+03,7.126236313154036907e+03,-2.894332329922074454e+00,3.388852977257510890e+00
-6.776586479670630979e+03,-2.154497579223809225e+03,7.110835684737488009e+03,-2.833766219841669987e+00,3.449419087337915357e+00
-6.630682657518387714e+03,-2.504311493768140735e+03,7.087843717417471453e+03,-2.780469812110828443e+00,3.502715495068756901e+00
-6.520662823017582923e+03,-2.885693997893778487e+03,7.130657297960954565e+03,-2.724954643448451730e+00,3.558230663731133614e+00
